1	1	1	0	0			0	0	11	0	0	0	0	0	0	11	0	0	0
0	0	0	0	0			0	0	11	0	0	0	0	0	0	11	0	3/STEAL	0
0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	11	0	0	0
0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	11	11	0	11
	0	0					0	0	11	0	0	0	0	0	0	0	0	0	0
	0	0												0	0	0	0	0	0
0	0	0	0	0										0	0	0	0	0	0
0	10	10	0	0										0	0	0	0	0	0
0	0	0	0	0										0	0	0	0	0	0
0	0	0	0	0										0	0	0	0	0	0
0	10	10	0	0	0	0								0	0	0	11	0	0
0	0	0	0	0	0	0			20/r/10,12|16,12|16,8|,16,12|10,12	0	0	0	0	0	0	0	11	0	0
20/u	0	0	0	0	0	0			0	0	0	0	0	0	0	0	11	0	0
11	11	11	11	11	0	0			0	0									
0	0	0	0	11	0	0			0	0									
0	0	0	0	11	0	0			0	0									
0	0	0	0	11	0	0	0	0	0	0									
3/STEAL	0	0	0	11	0	0	0	0	20/d/10,18|10,21|7,21|7,18|10,18	0					0	0	0	0	0
0	0	0	0	11	0	0	0	0	0	0					0	0	0	0	0
0	0	0	0	11	0	0	0	0	0	0					0	0	0	2	0
0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
