1	1	1	0	0			0	0	11	0	0	0	0	0	0	11	0	0	0
0	0	0	0	0			0	0	11	0	0	0	0	0	0	11	0	3/STEAL	0
0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	11	0	0	0
0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	11	11	0	11
	0	0					0	0	11	0	0	0	0	0	0	0	0	0	0
	0	0												0	0	0	0	0	0
0	0	0	0	0										0	0	0	0	0	0
0	10	10	0	0										0	0	0	0	0	0
0	0	0	0	0										0	0	0	0	0	0
0	0	0	0	0										0	0	0	0	0	0
0	10	10	0	0	0	0								0	0	0	11	0	0
0	0	0	0	0	0	0			20/r/9,11|15,11|15,7|15,11	0	0	0	0	0	0	0	11	0	0
20/u/0,12|4,9|0,8|4,9	0	0	0	0	0	0			0	0	0	0	0	0	0	0	11	0	0
11	11	11	11	11	0	0			0	0									
0	0	0	0	11	0	0			0	0									
0	0	0	0	11	0	0			0	0									
0	0	0	0	11	0	0	0	0	0	0									
3/STEAL	0	0	0	11	0	0	0	0	20/d/9,17|9,20|7,20|7,17	0					0	0	0	0	0
0	0	0	0	11	0	0	0	0	0	0					0	0	0	0	0
0	0	0	0	11	0	0	0	0	0	0					0	0	0	2	0
0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
